title,doi,openalex_id,year,confidence_tier,source_link,pdf_url,status,mention_count,matched_terms,match_strength,discovery_source,expectation,scan_method,error
Emerging mobile lidar technology to study boundary layer winds influenced by operating turbines,10.5194/wes-11-417-2026,https://openalex.org/W7128487218,2026.0,high,https://doi.org/10.5194/wes-11-417-2026,https://wes.copernicus.org/articles/11/417/2026/wes-11-417-2026.html,mentions_found,2,AERI retrieval; full_name,strong+contextual,channel_b:B2:AWAKEN+Doppler lidar,,html_scrape,
Can lidars assess wind plant blockage in simple terrain? A WRF-LES study,10.1063/5.0103668,https://openalex.org/W4298857988,2022.0,high,https://aip.scitation.org/doi/pdf/10.1063/5.0103668,https://doi.org/10.1063/5.0103668,no_matches,0,,,channel_b:B2:AWAKEN+Doppler lidar,,html_scrape,
Assessing the influence of device-specific and atmospheric parameters on a wind speed comparison of Doppler wind radar with profiling lidars,10.1088/1742-6596/3224/2/022028,https://openalex.org/W7162669817,2026.0,high,https://iopscience.iop.org/article/10.1088/1742-6596/3224/2/022028/pdf,https://iopscience.iop.org/article/10.1088/1742-6596/3224/2/022028,no_matches,0,,,channel_b:B2:AWAKEN+Doppler lidar,,html_scrape,
Comment on wes-2025-79,10.5194/wes-2025-79-rc2,https://openalex.org/W4415916890,2025.0,high,https://doi.org/10.5194/wes-2025-79-rc2,https://wes.copernicus.org/preprints/wes-2025-79-rc2/wes-2025-79-rc2.html,no_matches,0,,,channel_b:B2:AWAKEN+Doppler lidar,,html_scrape,
Operational wind plants increase planetary boundary layer height: an observational study,10.5194/wes-10-1681-2025,https://openalex.org/W4413363116,2025.0,high,https://wes.copernicus.org/articles/10/1681/2025/wes-10-1681-2025.pdf,https://wes.copernicus.org/articles/10/1681/2025/wes-10-1681-2025.html,mentions_found,5,AERI retrieval; CLAMPS-1/2; dataset_doi:10.21947/1994870; full_name,strong+contextual,channel_c:dataset_cites:10.21947/1994870,,html_scrape,
Reply on CC1,10.5194/wes-2025-79-ac1,https://openalex.org/W4413394376,2025.0,high,https://doi.org/10.5194/wes-2025-79-ac1,https://wes.copernicus.org/preprints/wes-2025-79/wes-2025-79-ac1.html,no_matches,0,,,channel_b:B2:AWAKEN+Doppler lidar,,html_scrape,
Reply on RC1,10.5194/wes-2025-79-ac2,https://openalex.org/W4414119127,2025.0,high,https://doi.org/10.5194/wes-2025-79-ac2,https://wes.copernicus.org/preprints/wes-2025-79/wes-2025-79-ac2.html,no_matches,0,,,channel_b:B2:AWAKEN+Doppler lidar,,html_scrape,
Reply on RC2,10.5194/wes-2025-79-ac3,https://openalex.org/W4416665614,2025.0,high,https://doi.org/10.5194/wes-2025-79-ac3,https://wes.copernicus.org/preprints/wes-2025-79/wes-2025-79-ac3.html,no_matches,0,,,channel_b:B2:AWAKEN+Doppler lidar,,html_scrape,
Comparison of horizontal wind speed and direction measurements from dual-Doppler radar and profiling lidars,10.1088/1742-6596/2767/9/092101,https://openalex.org/W4399490151,2024.0,high,https://doi.org/10.1088/1742-6596/2767/9/092101,https://iopscience.iop.org/article/10.1088/1742-6596/2767/9/092101,no_matches,0,,,channel_b:B2:AWAKEN+Doppler lidar,,html_scrape,
Wind Farm Wakes and Farm-to-Farm Interactions: Lidar and Wind Tunnel Tests,10.1088/1742-6596/2767/9/092105,https://openalex.org/W4399488112,2024.0,high,http://dx.doi.org/10.1088/1742-6596/2767/9/092105,https://iopscience.iop.org/article/10.1088/1742-6596/2767/9/092105,no_matches,0,,,channel_b:B2:AWAKEN+Doppler lidar,,html_scrape,
