work_key,corpus_class,corpus_source,openalex_id,title,year,doi,openalex_type,source_link,institutions,abstract,discovery_source,discovery_channel,cited_by_count,confidence_tier,repo_id,repo_handle,pdf_url,manual_flag
doi:10.1175/waf-d-16-0104.1,article,ground_truth_mandatory,https://openalex.org/W2548742076,,2016.0,10.1175/waf-d-16-0104.1,article,https://doi.org/10.1175/waf-d-16-0104.1,University of North Carolina at Asheville; University of Georgia,"Abstract Enhanced Fujita (EF) scale estimates following tornadoes remain challenging in rural areas with few traditional damage indicators. In some cases, such as the 27 April 2011 that passed through mostly inaccessible terrain Great Smoky Mountains National Park and Chattahoochee Forest southeastern United States, ground-based tornado surveys are nearly impossible. This work presents a novel method to infer EF-scale categories forests using levels of tree coupled wind resistance model. High-resolution aerial imagery allows detailed analyses based on field half million trees labeled their geographic location fall direction. Ground also provide details composition species diameters within each track. A statistical resampling procedure randomly draws sample from this database observed trees. The model determines percentage for given speed. By repeating procedure, speed value corresponds distribution treefall percentages sampled plots. Comparing these results small subplots along entire track estimation most probable associated subplot. Maps estimated reveal relationship between complex speeds show variability intensity both tracks. approach may lead methods straightforward remote or locations.",channel_g:ground_truth,channel_g,42.0,medium,,,,
doi:10.5194/amt-9-4269-2016,article,hc_publications,https://openalex.org/W2513380708,1064 nm rotational Raman lidar for particle extinction and lidar-ratio profiling: cirrus case study,2016.0,10.5194/amt-9-4269-2016,article,https://www.atmos-meas-tech.net/9/4269/2016/amt-9-4269-2016.pdf,Leibniz Institute for Tropospheric Research; Goddard Space Flight Center,"Abstract. For the first time, vertical profiles of 1064 nm particle extinction coefficient obtained from Raman lidar observations at 1058 (nitrogen and oxygen rotational backscatter) are presented. We applied new technique in framework test measurements performed several cirrus backscatter coefficients, corresponding extinction-to-backscatter ratios wavelengths 355, 532, nm. The coefficients were found to be equal for all three keeping retrieval uncertainties mind. multiple-scattering-corrected 355 on average about 20–30 % lower than ones 532 cirrus-mean ratio (lidar ratio) was 31 ± 5 sr (355 nm), 36 (532 38 (1064 nm) this single study. further discussed requirements needed obtain aerosol troposphere with good accuracy (20 relative uncertainty) appropriate temporal resolution.",channel_b:B2:RIVoRS+Doppler lidar,channel_b,85.0,high,,,,
doi:10.5445/ir/1000063305,article,hc_publications,https://openalex.org/W2621192471,Coherent Structures in the Atmospheric Boundary Layer Measured by Dual Doppler Lidar,2016.0,10.5445/ir/1000063305,article,https://publikationen.bibliothek.kit.edu/1000063305,,Coherent structures describe quasi-periodic patterns in the turbulent atmospheric wind field. They have an impact fluxes and transport processes. Using Dual-Doppler Lidar techniques enables to measure horizontal field with a high temporal spatial resolution. Comparing characterization data meteorological recordings allows asses triggering mechanisms for formation of coherent surface layer.,channel_b:B2:LAPSE-RATE+Doppler lidar,channel_b,0.0,high,,,,
doi:10.5194/angeo-34-1209-2016,article,hc_publications,https://openalex.org/W2563234241,"Derivation of turbulent energy dissipation rate with the Middle Atmosphere Alomar Radar System (MAARSY) and radiosondes at Andøya, Norway",2016.0,10.5194/angeo-34-1209-2016,article,https://angeo.copernicus.org/articles/34/1209/2016/angeo-34-1209-2016.pdf,Deutsches Zentrum für Luft- und Raumfahrt e. V. (DLR); Max Planck Institute for Meteorology; Ludwig-Maximilians-Universität München; Leibniz Association,"Abstract. We present the derivation of turbulent energy dissipation rate ε from a total 522 days observations with Middle Atmosphere Alomar Radar SYstem (MAARSY) mesosphere–stratosphere–troposphere (MST) radar running tropospheric experiments during period 2010–2013 as well balloon-borne radiosondes based on campaign in summer 2013. Spectral widths are converted to after removal broadening effects due finite beam width radar. With simultaneous situ measurements at MAARSY site, we compare values derived both techniques and reach an encouraging agreement between them. Using all data available, preliminary climatology atmospheric turbulence UTLS (upper troposphere lower stratosphere) region above site showing variability more than 5 orders magnitude inherent rates. The reveal log-normal distribution negative skewness, profiles show increase height which is also case for each individual month. Atmospheric our reveals seasonal variation but no clear diurnal region. Comparison gradient Richardson number Ri shows that only 1.7 % occur under condition &lt; 1 significantly larger those &gt; 1. Further, there roughly correlation independent scale dependence Ri. Turbulence active dynamical conditions (velocity horizontal wind U 10 m s−1) stronger quiet (U s−1). Last not least, compared corresponding vertical shears background velocity linear relation coefficient r = 58 99.9 significance level. This implies play important role generation stratosphere (through Kelvin–Helmholtz instability).",channel_b:B2:LAPSE-RATE+Doppler lidar,channel_b,40.0,high,,,,
doi:10.1038/ncomms11690,article,hc_publications,https://openalex.org/W2408706002,Differences in the efficacy of climate forcings explained by variations in atmospheric boundary layer depth,2016.0,10.1038/ncomms11690,article,https://www.nature.com/articles/ncomms11690.pdf,Bjerknes Centre for Climate Research,"The Earth has warmed in the last century and a large component of that warming been attributed to increased anthropogenic greenhouse gases. There are also numerous processes introduce strong, regionalized variations overall trend. However, ability forcing change surface air temperature depends on its spatial temporal distribution. Here we show efficacy is determined by effective heat capacity atmosphere, which cold dry climates defined depth planetary boundary layer. This can vary an order magnitude different scales, so get strongly amplified response shallow layers. must be accounted for assess climate forcing, implies multiple forcings cannot linearly combined determine response.",channel_b:B2:LAPSE-RATE+Doppler lidar,channel_b,107.0,high,,,,
doi:10.1051/photon/20168428,article,hc_publications,https://openalex.org/W2561561529,Détection et caractérisation des tourbillons de sillage des avions par Lidar Doppler,2016.0,10.1051/photon/20168428,article,https://www.photoniques.com/articles/photon/pdf/2016/05/photon201684p28.pdf,Office National d'Études et de Recherches Aérospatiales,"\n\t\t\t\tDans un contexte où le trafic aérien s'accroît chaque jour, l'optimisation des débits en termes de décollage et d'atterrissage est devenue enjeu majeur pour les aéroports à forte affluence. Ces sont principalement limités par la présence tourbillons sillage communément appelés wake vortex. Ceux-ci formés après passage d'un avion représentent danger potentiel l'avion suivant. Afin d'éviter accidents, organisations sûreté navigation aérienne ont défini distances sécurité respecter entre décollages ou atterrissages successifs. prennent compte catégorie poids deux appareils considérant situations pirecas. De nombreuses études été menées permettre une meilleure compréhension ces permis constater que leur comportement varie fonction conditions atmosphériques, particulier du vent turbulence atmosphérique. d’étudier dynamique masse d’air l’évolution phénomènes, on utilise depuis dizaine d’années Lidar (light detection and ranging). Le pulsé devenu l’instrument référence mesure distance (positions puissance).\n\t\t\t",channel_b:B2:VORTEX-SE+Doppler lidar,channel_b,0.0,high,,,,
doi:10.5194/amt-9-1993-2016,article,hc_publications,https://openalex.org/W2177179844,Evaluation of three lidar scanning strategies for turbulence measurements,2016.0,10.5194/amt-9-1993-2016,article,https://www.atmos-meas-tech.net/9/1993/2016/amt-9-1993-2016.pdf,National Laboratory of the Rockies; University of Oklahoma; Lawrence Livermore National Laboratory; Danish Energy Agency; Ørsted (Denmark); National Oceanic and Atmospheric Administration; Cooperative Institute for Research in Environmental Sciences; NOAA Earth System Research Laboratory; Radar (United States); Northwest Research Associates,"Abstract. Several errors occur when a traditional Doppler beam swinging (DBS) or velocity–azimuth display (VAD) strategy is used to measure turbulence with lidar. To mitigate some of these errors, scanning was recently developed which employs six positions independently estimate the u, v, and w velocity variances covariances. In order assess ability different techniques turbulence, Halo lidar, WindCube v2 pulsed ZephIR continuous wave lidar were deployed at field sites in Oklahoma Colorado collocated sonic anemometers.Results indicate that six-beam mitigates caused by VAD DBS scans, but strongly affected variance measured positions. The lidars overestimated horizontal values over 60 % under unstable conditions as result contamination, where additional components contaminate true value variance. A correction method for uses calculated from vertical position reduce contamination u v components. reduced estimates 20 both conditions, largest. This can be easily applied other contain promising accurately estimating commercially available lidars.",channel_b:B2:LAPSE-RATE+Doppler lidar,channel_b,69.0,high,,,,
doi:10.1088/1748-9326/11/4/044024,article,hc_publications,https://openalex.org/W2339747233,Ground-level climate at a peatland wind farm in Scotland is affected by wind turbine operation,2016.0,10.1088/1748-9326/11/4/044024,article,https://iopscience.iop.org/article/10.1088/1748-9326/11/4/044024/pdf,Lancaster University; University of Glasgow; University of Leeds; National Centre for Atmospheric Science; UK Centre for Ecology & Hydrology,"The global drive to produce low-carbon energy has resulted in an unprecedented deployment of onshore wind turbines, representing a significant land use change for generation with uncertain consequences local climatic conditions and the regulation ecosystem processes. Here, we present high-resolution data from farm collected during operational idle periods that shows affected several measures ground-level climate. Specifically, discovered turbines raised air temperature by 0.18 °C absolute humidity (AH) 0.03 g m<sup>-3</sup> night, increased variability air, surface soil throughout diurnal cycle. Further, microclimatic influence on AH decreased logarithmically distance nearest turbine. These effects microclimate, including temperature, have implications biogeochemical processes carbon cycling, stocks. Consequently, understanding needs be improved determine overall balance energy.",channel_b:B2:LAPSE-RATE+Doppler lidar,channel_b,60.0,high,,,,
doi:10.1007/s11214-016-0239-2,article,hc_publications,https://openalex.org/W2338061525,History and Applications of Dust Devil Studies,2016.0,10.1007/s11214-016-0239-2,article,https://link.springer.com/content/pdf/10.1007%2Fs11214-016-0239-2.pdf,Johns Hopkins University Applied Physics Laboratory; The Open University; Xi'an Jiaotong University; Finnish Meteorological Institute; University of Cologne; A.M. Obukhov Institute of Atmospheric Physics; Rutherford Appleton Laboratory; University of Münster; Constructor University; Laboratoire de Météorologie Dynamique; Kyoto University; Wuhan University of Technology,"Studies of dust devils, and their impact on society, are reviewed. Dust devils have been noted since antiquity, documented in many countries, as well the planet Mars. As time-variable vortex entities, they become a cultural motif. Three major stimuli devil research identified, nuclear testing, terrestrial climate studies, perhaps most significantly, Mars research. present an occasional safety hazard to light structures caused several deaths.",channel_b:B2:EPIC+Doppler lidar,channel_b,52.0,high,,,,
doi:10.5194/acp-16-2459-2016,article,hc_publications,https://openalex.org/W1786083780,"Mixing layer height and its implications for air pollution over Beijing, China",2016.0,10.5194/acp-16-2459-2016,article,https://www.atmos-chem-phys.net/16/2459/2016/acp-16-2459-2016.pdf,Chinese Academy of Sciences; Institute of Atmospheric Physics; Karlsruhe Institute of Technology,"Abstract. The mixing layer is an important meteorological factor that affects air pollution. In this study, the atmospheric height (MLH) was observed in Beijing from July 2009 to December 2012 using a ceilometer. By comparison with radiosonde data, we found ceilometer underestimates MLH under conditions of neutral stratification caused by strong winds, whereas it overestimates when sand-dust crossing. Using meteorological, PM2.5, and PM10 observational screened automatically; observations were fairly consistent radiosondes, correlation coefficient greater than 0.9. Further analysis indicated low autumn winter high spring summer Beijing. There significant between sensible heat flux MLH, diurnal cycle also affected circulation mountainous plain winds. visibility as index classify degree pollution, variation buoyancy term turbulent kinetic energy (TKE) insignificant decreases 10 5 km, but reduction shear TKE near 70 %. When 1 insignificant, decrease approximately 60 Although daily very poor, them significantly enhanced relative humidity increases beyond 80 This indicates humidity-related physicochemical processes primary source particles heavy pollution dissipation mainly depends on MLH. presented results provide useful empirical information for improving chemistry models forecasting warning",channel_b:B2:LAPSE-RATE+Doppler lidar,channel_b,445.0,high,,,,
