year,tier,affiliation,count
2015,All works,nwc_affiliated,0
2015,All works,non_affiliated,1
2015,All works,unknown,0
2016,All works,nwc_affiliated,3
2016,All works,non_affiliated,15
2016,All works,unknown,1
2017,All works,nwc_affiliated,10
2017,All works,non_affiliated,22
2017,All works,unknown,0
2018,All works,nwc_affiliated,15
2018,All works,non_affiliated,29
2018,All works,unknown,1
2019,All works,nwc_affiliated,14
2019,All works,non_affiliated,35
2019,All works,unknown,3
2020,All works,nwc_affiliated,30
2020,All works,non_affiliated,48
2020,All works,unknown,2
2021,All works,nwc_affiliated,14
2021,All works,non_affiliated,34
2021,All works,unknown,0
2022,All works,nwc_affiliated,14
2022,All works,non_affiliated,84
2022,All works,unknown,5
2023,All works,nwc_affiliated,29
2023,All works,non_affiliated,94
2023,All works,unknown,3
2024,All works,nwc_affiliated,23
2024,All works,non_affiliated,50
2024,All works,unknown,9
2025,All works,nwc_affiliated,11
2025,All works,non_affiliated,60
2025,All works,unknown,5
2026,All works,nwc_affiliated,1
2026,All works,non_affiliated,11
2026,All works,unknown,5
2015,Published literature,nwc_affiliated,0
2015,Published literature,non_affiliated,1
2015,Published literature,unknown,0
2016,Published literature,nwc_affiliated,3
2016,Published literature,non_affiliated,13
2016,Published literature,unknown,1
2017,Published literature,nwc_affiliated,4
2017,Published literature,non_affiliated,21
2017,Published literature,unknown,0
2018,Published literature,nwc_affiliated,12
2018,Published literature,non_affiliated,27
2018,Published literature,unknown,1
2019,Published literature,nwc_affiliated,14
2019,Published literature,non_affiliated,35
2019,Published literature,unknown,3
2020,Published literature,nwc_affiliated,13
2020,Published literature,non_affiliated,42
2020,Published literature,unknown,2
2021,Published literature,nwc_affiliated,9
2021,Published literature,non_affiliated,33
2021,Published literature,unknown,0
2022,Published literature,nwc_affiliated,12
2022,Published literature,non_affiliated,77
2022,Published literature,unknown,4
2023,Published literature,nwc_affiliated,16
2023,Published literature,non_affiliated,90
2023,Published literature,unknown,2
2024,Published literature,nwc_affiliated,13
2024,Published literature,non_affiliated,49
2024,Published literature,unknown,5
2025,Published literature,nwc_affiliated,10
2025,Published literature,non_affiliated,60
2025,Published literature,unknown,1
2026,Published literature,nwc_affiliated,1
2026,Published literature,non_affiliated,11
2026,Published literature,unknown,5
