year,tier,affiliation,count,platform,months
2015,All works,nwc_affiliated,0.0,,
2015,All works,non_affiliated,1.0,,
2015,All works,unknown,0.0,,
2016,All works,nwc_affiliated,3.0,,
2016,All works,non_affiliated,15.0,,
2016,All works,unknown,1.0,,
2017,All works,nwc_affiliated,10.0,,
2017,All works,non_affiliated,22.0,,
2017,All works,unknown,0.0,,
2018,All works,nwc_affiliated,15.0,,
2018,All works,non_affiliated,29.0,,
2018,All works,unknown,1.0,,
2019,All works,nwc_affiliated,14.0,,
2019,All works,non_affiliated,35.0,,
2019,All works,unknown,3.0,,
2020,All works,nwc_affiliated,30.0,,
2020,All works,non_affiliated,48.0,,
2020,All works,unknown,2.0,,
2021,All works,nwc_affiliated,14.0,,
2021,All works,non_affiliated,34.0,,
2021,All works,unknown,0.0,,
2022,All works,nwc_affiliated,14.0,,
2022,All works,non_affiliated,84.0,,
2022,All works,unknown,5.0,,
2023,All works,nwc_affiliated,29.0,,
2023,All works,non_affiliated,94.0,,
2023,All works,unknown,3.0,,
2024,All works,nwc_affiliated,23.0,,
2024,All works,non_affiliated,50.0,,
2024,All works,unknown,9.0,,
2025,All works,nwc_affiliated,11.0,,
2025,All works,non_affiliated,60.0,,
2025,All works,unknown,5.0,,
2026,All works,nwc_affiliated,1.0,,
2026,All works,non_affiliated,11.0,,
2026,All works,unknown,5.0,,
2015,Published literature,nwc_affiliated,0.0,,
2015,Published literature,non_affiliated,1.0,,
2015,Published literature,unknown,0.0,,
2016,Published literature,nwc_affiliated,3.0,,
2016,Published literature,non_affiliated,13.0,,
2016,Published literature,unknown,1.0,,
2017,Published literature,nwc_affiliated,4.0,,
2017,Published literature,non_affiliated,21.0,,
2017,Published literature,unknown,0.0,,
2018,Published literature,nwc_affiliated,12.0,,
2018,Published literature,non_affiliated,27.0,,
2018,Published literature,unknown,1.0,,
2019,Published literature,nwc_affiliated,14.0,,
2019,Published literature,non_affiliated,35.0,,
2019,Published literature,unknown,3.0,,
2020,Published literature,nwc_affiliated,13.0,,
2020,Published literature,non_affiliated,42.0,,
2020,Published literature,unknown,2.0,,
2021,Published literature,nwc_affiliated,9.0,,
2021,Published literature,non_affiliated,33.0,,
2021,Published literature,unknown,0.0,,
2022,Published literature,nwc_affiliated,12.0,,
2022,Published literature,non_affiliated,77.0,,
2022,Published literature,unknown,4.0,,
2023,Published literature,nwc_affiliated,16.0,,
2023,Published literature,non_affiliated,90.0,,
2023,Published literature,unknown,2.0,,
2024,Published literature,nwc_affiliated,13.0,,
2024,Published literature,non_affiliated,49.0,,
2024,Published literature,unknown,5.0,,
2025,Published literature,nwc_affiliated,10.0,,
2025,Published literature,non_affiliated,60.0,,
2025,Published literature,unknown,1.0,,
2026,Published literature,nwc_affiliated,1.0,,
2026,Published literature,non_affiliated,11.0,,
2026,Published literature,unknown,5.0,,
2015,Months deployed,,,CLAMPS1,3.0
2015,Months deployed,,,CLAMPS2,0.0
2016,Months deployed,,,CLAMPS1,3.0
2016,Months deployed,,,CLAMPS2,1.0
2017,Months deployed,,,CLAMPS1,4.0
2017,Months deployed,,,CLAMPS2,5.0
2018,Months deployed,,,CLAMPS1,3.0
2018,Months deployed,,,CLAMPS2,3.0
2019,Months deployed,,,CLAMPS1,6.0
2019,Months deployed,,,CLAMPS2,8.0
2020,Months deployed,,,CLAMPS1,3.0
2020,Months deployed,,,CLAMPS2,2.0
2021,Months deployed,,,CLAMPS1,5.0
2021,Months deployed,,,CLAMPS2,5.0
2022,Months deployed,,,CLAMPS1,10.0
2022,Months deployed,,,CLAMPS2,11.0
2023,Months deployed,,,CLAMPS1,5.0
2023,Months deployed,,,CLAMPS2,11.0
2024,Months deployed,,,CLAMPS1,1.0
2024,Months deployed,,,CLAMPS2,4.0
2025,Months deployed,,,CLAMPS1,0.5
2025,Months deployed,,,CLAMPS2,0.5
2026,Months deployed,,,CLAMPS1,0.5
2026,Months deployed,,,CLAMPS2,0.5
