year,corpus_class,count,platform,months
2015,article,0.0,,
2015,report,1.0,,
2015,dataset,0.0,,
2015,thesis,0.0,,
2016,article,16.0,,
2016,report,1.0,,
2016,dataset,0.0,,
2016,thesis,2.0,,
2017,article,24.0,,
2017,report,1.0,,
2017,dataset,3.0,,
2017,thesis,4.0,,
2018,article,39.0,,
2018,report,1.0,,
2018,dataset,0.0,,
2018,thesis,5.0,,
2019,article,46.0,,
2019,report,6.0,,
2019,dataset,0.0,,
2019,thesis,0.0,,
2020,article,55.0,,
2020,report,2.0,,
2020,dataset,18.0,,
2020,thesis,5.0,,
2021,article,41.0,,
2021,report,1.0,,
2021,dataset,0.0,,
2021,thesis,6.0,,
2022,article,93.0,,
2022,report,0.0,,
2022,dataset,8.0,,
2022,thesis,2.0,,
2023,article,103.0,,
2023,report,5.0,,
2023,dataset,17.0,,
2023,thesis,1.0,,
2024,article,65.0,,
2024,report,2.0,,
2024,dataset,12.0,,
2024,thesis,3.0,,
2025,article,71.0,,
2025,report,0.0,,
2025,dataset,4.0,,
2025,thesis,1.0,,
2026,article,17.0,,
2026,report,0.0,,
2026,dataset,0.0,,
2026,thesis,0.0,,
2015,,,CLAMPS1,3.0
2015,,,CLAMPS2,0.0
2016,,,CLAMPS1,3.0
2016,,,CLAMPS2,1.0
2017,,,CLAMPS1,4.0
2017,,,CLAMPS2,5.0
2018,,,CLAMPS1,3.0
2018,,,CLAMPS2,3.0
2019,,,CLAMPS1,6.0
2019,,,CLAMPS2,8.0
2020,,,CLAMPS1,3.0
2020,,,CLAMPS2,2.0
2021,,,CLAMPS1,5.0
2021,,,CLAMPS2,5.0
2022,,,CLAMPS1,10.0
2022,,,CLAMPS2,11.0
2023,,,CLAMPS1,5.0
2023,,,CLAMPS2,11.0
2024,,,CLAMPS1,1.0
2024,,,CLAMPS2,4.0
2025,,,CLAMPS1,0.5
2025,,,CLAMPS2,0.5
2026,,,CLAMPS1,0.5
2026,,,CLAMPS2,0.5
