year,tier,affiliation,count
2015,All works,nwc_affiliated,0
2015,All works,non_affiliated,1
2015,All works,unknown,0
2016,All works,nwc_affiliated,3
2016,All works,non_affiliated,12
2016,All works,unknown,2
2017,All works,nwc_affiliated,3
2017,All works,non_affiliated,22
2017,All works,unknown,3
2018,All works,nwc_affiliated,6
2018,All works,non_affiliated,27
2018,All works,unknown,1
2019,All works,nwc_affiliated,7
2019,All works,non_affiliated,31
2019,All works,unknown,4
2020,All works,nwc_affiliated,5
2020,All works,non_affiliated,42
2020,All works,unknown,4
2021,All works,nwc_affiliated,4
2021,All works,non_affiliated,39
2021,All works,unknown,3
2022,All works,nwc_affiliated,8
2022,All works,non_affiliated,86
2022,All works,unknown,5
2023,All works,nwc_affiliated,8
2023,All works,non_affiliated,91
2023,All works,unknown,2
2024,All works,nwc_affiliated,4
2024,All works,non_affiliated,48
2024,All works,unknown,7
2025,All works,nwc_affiliated,4
2025,All works,non_affiliated,65
2025,All works,unknown,1
2026,All works,nwc_affiliated,1
2026,All works,non_affiliated,11
2026,All works,unknown,5
2015,Published literature,nwc_affiliated,0
2015,Published literature,non_affiliated,0
2015,Published literature,unknown,0
2016,Published literature,nwc_affiliated,3
2016,Published literature,non_affiliated,3
2016,Published literature,unknown,0
2017,Published literature,nwc_affiliated,1
2017,Published literature,non_affiliated,5
2017,Published literature,unknown,1
2018,Published literature,nwc_affiliated,1
2018,Published literature,non_affiliated,5
2018,Published literature,unknown,0
2019,Published literature,nwc_affiliated,4
2019,Published literature,non_affiliated,8
2019,Published literature,unknown,1
2020,Published literature,nwc_affiliated,3
2020,Published literature,non_affiliated,12
2020,Published literature,unknown,0
2021,Published literature,nwc_affiliated,4
2021,Published literature,non_affiliated,8
2021,Published literature,unknown,0
2022,Published literature,nwc_affiliated,3
2022,Published literature,non_affiliated,17
2022,Published literature,unknown,0
2023,Published literature,nwc_affiliated,1
2023,Published literature,non_affiliated,15
2023,Published literature,unknown,0
2024,Published literature,nwc_affiliated,0
2024,Published literature,non_affiliated,5
2024,Published literature,unknown,0
2025,Published literature,nwc_affiliated,2
2025,Published literature,non_affiliated,10
2025,Published literature,unknown,0
2026,Published literature,nwc_affiliated,0
2026,Published literature,non_affiliated,2
2026,Published literature,unknown,0
