campaign,total_2015,total_2016,total_2017,total_2018,total_2019,total_2020,total_2021,total_2022,total_2023,total_2024,total_2025,total_2026,articles_2015,non_articles_2015,articles_2016,non_articles_2016,articles_2017,non_articles_2017,articles_2018,non_articles_2018,articles_2019,non_articles_2019,articles_2020,non_articles_2020,articles_2021,non_articles_2021,articles_2022,non_articles_2022,articles_2023,non_articles_2023,articles_2024,non_articles_2024,articles_2025,non_articles_2025,articles_2026,non_articles_2026
(no campaign tag),1,15,22,25,30,36,28,78,103,57,60,13,0,1,14,1,20,2,23,2,25,5,33,3,27,1,77,1,93,10,52,5,55,5,13,0
PECAN,0,3,6,8,8,5,5,1,0,0,2,0,0,0,1,2,3,3,5,3,8,0,4,1,2,3,1,0,0,0,0,0,2,0,0,0
LAPSE-RATE,0,0,0,1,2,25,4,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,7,18,4,0,2,0,0,0,0,0,0,0,1,0
VORTEX-SE,0,1,3,2,4,6,6,3,5,0,1,1,0,0,1,0,0,3,2,0,4,0,4,2,4,2,3,0,4,1,0,0,1,0,1,0
Perdigão,0,0,0,7,7,3,2,0,1,1,1,1,0,0,0,0,0,0,6,1,7,0,3,0,2,0,0,0,1,0,1,0,1,0,1,0
LAFE,0,0,1,2,1,2,1,5,3,2,4,1,0,0,0,0,1,0,2,0,0,1,1,1,1,0,4,1,3,0,1,1,4,0,1,0
AWAKEN,0,0,0,0,0,0,1,1,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,9,1,0,0,0
TRACER,0,0,0,0,0,0,0,1,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,3,0,2,0,0,0
CHEESEHEAD,0,0,0,0,0,3,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1,0,0,2,0,1,0,0,0
SPLASH,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,0,0,0
PERiLS,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0
