entry_key,work_key,source_campaign,review_flag,target_campaign,title
doi:10.5194/amt-9-4269-2016	(no campaign tag),doi:10.5194/amt-9-4269-2016,(no campaign tag),r,,1064 nm rotational Raman lidar for particle extinction and lidar-ratio profiling: cirrus case study
doi:10.5445/ir/1000063305	LAPSE-RATE,doi:10.5445/ir/1000063305,LAPSE-RATE,r,,Coherent Structures in the Atmospheric Boundary Layer Measured by Dual Doppler Lidar
doi:10.5194/angeo-34-1209-2016	LAPSE-RATE,doi:10.5194/angeo-34-1209-2016,LAPSE-RATE,r,,"Derivation of turbulent energy dissipation rate with the Middle Atmosphere Alomar Radar System (MAARSY) and radiosondes at Andøya, Norway"
doi:10.1038/ncomms11690	LAPSE-RATE,doi:10.1038/ncomms11690,LAPSE-RATE,r,,Differences in the efficacy of climate forcings explained by variations in atmospheric boundary layer depth
doi:10.5194/amt-9-1993-2016	LAPSE-RATE,doi:10.5194/amt-9-1993-2016,LAPSE-RATE,r,,Evaluation of three lidar scanning strategies for turbulence measurements
doi:10.1088/1748-9326/11/4/044024	LAPSE-RATE,doi:10.1088/1748-9326/11/4/044024,LAPSE-RATE,r,,Ground-level climate at a peatland wind farm in Scotland is affected by wind turbine operation
doi:10.1007/s11214-016-0239-2	(no campaign tag),doi:10.1007/s11214-016-0239-2,(no campaign tag),r,,History and Applications of Dust Devil Studies
doi:10.5194/acp-16-2459-2016	LAPSE-RATE,doi:10.5194/acp-16-2459-2016,LAPSE-RATE,r,,"Mixing layer height and its implications for air pollution over Beijing, China"
doi:10.1002/2016jd025453	LAPSE-RATE,doi:10.1002/2016jd025453,LAPSE-RATE,r,,OH* imager response to turbulence‐induced temperature fluctuations
doi:10.1002/asl.660	LAPSE-RATE,doi:10.1002/asl.660,LAPSE-RATE,r,,On the link between cold fronts and hail in Switzerland
doi:10.1002/2015jd024494	LAPSE-RATE,doi:10.1002/2015jd024494,LAPSE-RATE,r,,"Simultaneous and common‐volume lidar observations of K/Na layers and temperature at Arecibo Observatory (18°N, 67°W)"
doi:10.1002/we.1978	LAPSE-RATE,doi:10.1002/we.1978,LAPSE-RATE,r,,Testing and validation of multi‐lidar scanning strategies for wind energy applications
doi:10.5194/acp-2016-842	LAPSE-RATE,doi:10.5194/acp-2016-842,LAPSE-RATE,r,,The life cycle of nocturnal low-level clouds over southern WestAfrica analysed using high-resolution simulations
doi:10.5194/amt-2017-393	LAPSE-RATE,doi:10.5194/amt-2017-393,LAPSE-RATE,r,,Algorithm Theoretical Baseline for formaldehyde retrievals from S5P TROPOMI and from the QA4ECV project
doi:10.1175/mwr-d-17-0047.1	LAPSE-RATE,doi:10.1175/mwr-d-17-0047.1,LAPSE-RATE,r,,An Adjoint-Based Forecast Impact from Assimilating MISR Winds into the GEOS-5 Data Assimilation and Forecasting System
doi:10.5194/wes-2-77-2017	LAPSE-RATE,doi:10.5194/wes-2-77-2017,LAPSE-RATE,r,,An error reduction algorithm to improve lidar turbulence estimates for wind energy
doi:10.1175/bams-d-16-0181.1	LAPSE-RATE,doi:10.1175/bams-d-16-0181.1,LAPSE-RATE,r,,Avian Sensor Packages for Meteorological Measurements
doi:10.3390/rs9030242	LAPSE-RATE,doi:10.3390/rs9030242,LAPSE-RATE,r,,Characterization of Turbulence in Wind Turbine Wakes under Different Stability Conditions from Static Doppler LiDAR Measurements
doi:10.5194/acp-17-1847-2017	LAPSE-RATE,doi:10.5194/acp-17-1847-2017,LAPSE-RATE,r,,Effects of atmospheric dynamics and aerosols on the fraction of supercooled water clouds
doi:10.1175/waf-d-17-0064.1	(no campaign tag),doi:10.1175/waf-d-17-0064.1,(no campaign tag),r,,How Much Does “Backing Aloft” Actually Impact a Supercell?
doi:10.1175/jas-d-16-0317.1	LAPSE-RATE,doi:10.1175/jas-d-16-0317.1,LAPSE-RATE,r,,Large-Eddy Simulation of Shallow Cumulus over Land: A Composite Case Based on ARM Long-Term Observations at Its Southern Great Plains Site
doi:10.5194/angeo-35-181-2017	LAPSE-RATE,doi:10.5194/angeo-35-181-2017,LAPSE-RATE,r,,Large-scale gravity wave perturbations in the mesopause region above Northern Hemisphere midlatitudes during autumnal equinox: a joint study by the USU Na lidar and Whole Atmosphere Community Climate Model
doi:10.5194/acp-17-2721-2017	(no campaign tag),doi:10.5194/acp-17-2721-2017,(no campaign tag),r,,"Modeling the diurnal variability of agricultural ammonia in Bakersfield, California, during the CalNex campaign"
doi:10.5194/acp-17-899-2017	LAPSE-RATE,doi:10.5194/acp-17-899-2017,LAPSE-RATE,r,,Nocturnal low-level clouds over southern West Africa analysed using high-resolution simulations
doi:10.5194/acp-17-3619-2017	LAPSE-RATE,doi:10.5194/acp-17-3619-2017,LAPSE-RATE,r,,Optical and geometrical properties of cirrus clouds in Amazonia derived from 1 year of ground-based lidar measurements
doi:10.1175/waf-d-17-0104.1	(no campaign tag),doi:10.1175/waf-d-17-0104.1,(no campaign tag),r,,Probabilistic Verification of Storm Prediction Center Convective Outlooks
doi:10.1038/s41598-017-04503-0	LAPSE-RATE,doi:10.1038/s41598-017-04503-0,LAPSE-RATE,r,,The movement of small insects in the convective boundary layer: linking patterns to processes
doi:10.1175/mwr-d-16-0410.1	(no campaign tag),doi:10.1175/mwr-d-16-0410.1,(no campaign tag),r,,Toward 1-km Ensemble Forecasts over Large Domains
doi:10.1175/mwr-d-17-0152.1	(no campaign tag),doi:10.1175/mwr-d-17-0152.1,(no campaign tag),r,,Volatility of Tornadogenesis: An Ensemble of Simulated Nontornadic and Tornadic Supercells in VORTEX2 Environments
doi:10.3390/en10030317	LAPSE-RATE,doi:10.3390/en10030317,LAPSE-RATE,r,,Wind Farm Wake: The 2016 Horns Rev Photo Case
doi:10.5194/acp-17-13345-2017	(no campaign tag),doi:10.5194/acp-17-13345-2017,(no campaign tag),r,,Winds and temperatures of the Arctic middle atmosphere during January measured by Doppler lidar
doi:10.5194/amt-11-6013-2018	(no campaign tag),doi:10.5194/amt-11-6013-2018,(no campaign tag),r,,A multiwavelength numerical model in support of quantitative retrievals of aerosol properties from automated lidar ceilometers and test applications for AOT and PM <sub>10</sub> estimation
